Player_Latitude,Player_Longitude,Fort_Latitude,Fort_Longitude,Timestamp
0.010300,0.019800,0.010000,0.020000,2025-10-01 08:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2025-10-04 09:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2025-10-07 10:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2025-10-10 11:00:00 UTC
0.010300,0.019800,0.010000,0.020000,2025-10-13 12:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2025-10-16 13:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2025-10-19 14:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2025-10-22 08:00:00 UTC
0.010300,0.019800,0.010000,0.020000,2025-10-25 09:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2025-10-28 10:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2025-10-31 11:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2025-11-03 12:00:00 UTC
0.010300,0.019800,0.010000,0.020000,2025-11-06 13:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2025-11-09 14:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2025-11-12 08:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2025-11-15 09:00:00 UTC
0.010300,0.019800,0.010000,0.020000,2025-11-18 10:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2025-11-21 11:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2025-11-24 12:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2025-11-27 13:00:00 UTC
0.010300,0.019800,0.010000,0.020000,2025-11-30 14:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2025-12-03 08:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2025-12-06 09:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2025-12-09 10:00:00 UTC
0.010300,0.019800,0.010000,0.020000,2025-12-12 11:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2025-12-15 12:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2025-12-18 13:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2025-12-21 14:00:00 UTC
0.010300,0.019800,0.010000,0.020000,2025-12-24 08:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2025-12-27 09:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2025-12-30 10:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2026-01-02 11:00:00 UTC
0.010300,0.019800,0.010000,0.020000,2026-01-05 12:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2026-01-08 13:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2026-01-11 14:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2026-01-14 08:00:00 UTC
0.010300,0.019800,0.010000,0.020000,2026-01-17 09:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2026-01-20 10:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2026-01-23 11:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2026-01-26 12:00:00 UTC
0.010300,0.019800,0.010000,0.020000,2026-01-29 13:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2026-02-01 14:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2026-02-04 08:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2026-02-07 09:00:00 UTC
0.010300,0.019800,0.010000,0.020000,2026-02-10 10:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2026-02-13 11:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2026-02-16 12:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2026-02-19 13:00:00 UTC
0.010300,0.019800,0.010000,0.020000,2026-02-22 14:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2026-02-25 08:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2026-02-28 09:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2026-03-03 10:00:00 UTC
0.010300,0.019800,0.010000,0.020000,2026-03-06 11:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2026-03-09 12:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2026-03-12 13:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2026-03-15 14:00:00 UTC
0.010300,0.019800,0.010000,0.020000,2026-03-18 08:00:00 UTC
0.020300,0.029800,0.020000,0.030000,2026-03-21 09:00:00 UTC
0.030300,0.039800,0.030000,0.040000,2026-03-24 10:00:00 UTC
0.040300,0.049800,0.040000,0.050000,2026-03-27 11:00:00 UTC
