Player_Latitude,Player_Longitude,Fort_Latitude,Fort_Longitude,Timestamp
34.200000,-118.360000,34.200000,-118.360000,2025-08-09 21:20:18.852 UTC
34.080000,-118.160000,34.080000,-118.160000,2025-07-06 22:48:52.207 UTC
35.640000,139.640000,35.640000,139.640000,2025-07-06 21:45:56.205 UTC
34.200000,-118.360000,34.200000,-118.360000,2025-07-10 14:53:31.162 UTC
34.080000,-118.160000,34.080000,-118.160000,2025-07-10 01:41:01.275 UTC
34.160000,-118.360000,34.160000,-118.360000,2025-11-30 02:18:31.703 UTC
33.880000,-118.320000,34.000000,-118.240000,2025-11-30 02:37:06.17 UTC
34.000000,-118.080000,34.000000,-118.080000,2026-04-21 20:28:51.24 UTC
34.000000,-118.080000,34.000000,-118.080000,2026-04-21 18:30:58.714 UTC
34.000000,-118.080000,33.960000,-118.280000,2026-04-21 18:25:32.519 UTC
34.160000,-118.280000,34.160000,-118.280000,2026-04-21 14:00:44.942 UTC
34.160000,-118.280000,34.000000,-118.080000,2026-04-21 07:31:47.127 UTC
34.160000,-118.280000,34.000000,-118.080000,2026-04-21 06:33:32.173 UTC
34.160000,-118.280000,34.160000,-118.280000,2026-04-21 06:54:19.14 UTC
33.920000,-118.120000,33.920000,-118.120000,2026-04-21 05:55:41.496 UTC
34.160000,-118.280000,34.160000,-118.280000,2025-12-23 15:20:00.203 UTC
34.000000,-118.040000,33.880000,-118.200000,2026-05-28 17:02:54.378 UTC
-33.840000,151.160000,-33.840000,151.160000,2026-05-28 16:11:50.18 UTC
33.920000,-118.280000,33.920000,-118.280000,2026-05-28 23:42:22.308 UTC
34.000000,-118.120000,34.000000,-118.120000,2026-05-28 18:22:33.793 UTC
35.680000,139.680000,35.680000,139.680000,2026-05-28 22:29:34.339 UTC
-33.840000,151.160000,-33.840000,151.160000,2026-05-28 16:54:29.749 UTC
33.960000,-118.320000,33.960000,-118.320000,2025-06-02 15:00:19.332 UTC
33.920000,-118.280000,33.920000,-118.280000,2026-07-26 19:20:14.211 UTC
33.920000,-118.200000,33.920000,-118.200000,2026-07-26 19:21:49.288 UTC
34.120000,-118.080000,34.120000,-118.080000,2026-07-26 19:52:43.817 UTC
35.680000,139.680000,35.680000,139.680000,2026-07-25 22:48:48.995 UTC
34.160000,-118.360000,33.920000,-118.280000,2026-05-03 20:35:27.156 UTC
40.760000,-74.040000,40.760000,-74.040000,2026-07-06 15:28:03.124 UTC
33.960000,-118.120000,33.960000,-118.120000,2026-02-06 19:02:04.068 UTC
33.920000,-118.280000,33.920000,-118.280000,2026-02-06 23:37:48.358 UTC
34.120000,-118.320000,34.120000,-118.320000,2026-02-06 15:33:04.434 UTC
34.160000,-118.360000,34.160000,-118.360000,2026-01-31 22:44:40.055 UTC
34.080000,-118.160000,34.080000,-118.160000,2025-10-09 01:29:26.046 UTC
51.520000,-0.040000,51.520000,-0.040000,2025-08-28 19:01:12.088 UTC
34.000000,-118.280000,34.000000,-118.280000,2025-08-28 14:57:39.867 UTC
33.920000,-118.280000,33.920000,-118.280000,2025-08-28 14:06:10.224 UTC
34.080000,-118.160000,34.080000,-118.160000,2025-08-28 01:55:58.417 UTC
34.080000,-118.160000,34.080000,-118.160000,2025-08-28 01:45:35.333 UTC
34.080000,-118.160000,34.080000,-118.160000,2025-08-28 02:09:06.14 UTC
34.160000,-118.360000,34.160000,-118.360000,2026-05-31 18:46:38.192 UTC
40.760000,-74.040000,40.760000,-74.040000,2025-11-19 15:40:20.234 UTC
47.600000,-122.240000,47.600000,-122.240000,2025-11-19 16:39:54.304 UTC
33.960000,-118.360000,33.960000,-118.360000,2025-11-19 18:44:00.148 UTC
34.080000,-118.320000,34.080000,-118.320000,2025-11-19 23:37:53.025 UTC
34.000000,-118.400000,34.000000,-118.400000,2026-07-17 01:53:09.987 UTC
34.000000,-118.400000,34.000000,-118.400000,2026-07-17 01:50:00.954 UTC
34.000000,-118.400000,34.000000,-118.400000,2026-07-17 03:44:28.231 UTC
34.040000,-118.240000,34.040000,-118.240000,2026-07-17 04:03:17.923 UTC
47.560000,-122.280000,47.560000,-122.280000,2026-07-17 04:10:45.355 UTC
33.960000,-118.120000,33.960000,-118.120000,2026-07-17 01:06:37.364 UTC
33.960000,-118.400000,33.960000,-118.400000,2026-07-17 01:09:20.9 UTC
34.120000,-118.200000,34.120000,-118.200000,2026-07-17 19:09:09.769 UTC
