Player_Latitude,Player_Longitude,Timestamp
33.920000,-118.280000,2025-06-04 13:26:25.97 UTC
33.960000,-118.120000,2025-07-23 01:37:48.833 UTC
33.960000,-118.200000,2025-07-23 03:50:23.706 UTC
41.880000,-87.720000,2025-07-23 03:22:03.739 UTC
34.080000,-118.160000,2025-11-18 15:21:06.928 UTC
35.640000,139.640000,2025-11-18 15:41:34.537 UTC
34.160000,-118.360000,2026-08-21 06:29:55.438 UTC
34.080000,-118.160000,2025-11-29 20:23:47.407 UTC
34.080000,-118.160000,2025-08-30 21:04:15.044 UTC
34.080000,-118.160000,2025-08-30 22:38:08.532 UTC
33.880000,-118.320000,2025-08-30 23:30:41.02 UTC
33.880000,-118.320000,2025-08-30 21:28:45.751 UTC
34.120000,-118.160000,2025-12-05 01:53:56.995 UTC
34.120000,-118.160000,2025-12-05 01:53:39.48 UTC
33.920000,-118.280000,2025-11-30 02:19:37.166 UTC
34.120000,-118.400000,2026-01-03 21:54:21.386 UTC
-23.520000,-46.560000,2026-01-16 15:13:02.285 UTC
33.880000,-118.320000,2026-01-16 03:18:53.802 UTC
33.920000,-118.240000,2025-12-21 21:29:27.493 UTC
33.920000,-118.160000,2025-12-21 22:14:13.217 UTC
33.920000,-118.160000,2025-12-21 19:01:03.072 UTC
33.920000,-118.160000,2025-12-21 22:15:32.246 UTC
33.920000,-118.160000,2025-12-21 22:23:52.869 UTC
33.920000,-118.240000,2025-12-21 23:05:11.604 UTC
33.920000,-118.160000,2025-12-21 22:12:10.272 UTC
33.920000,-118.160000,2025-12-21 22:13:06.673 UTC
33.920000,-118.240000,2025-12-21 23:04:31.35 UTC
33.920000,-118.240000,2025-12-21 23:04:16.596 UTC
40.760000,-74.040000,2025-12-21 18:10:10.079 UTC
33.920000,-118.160000,2025-12-21 18:48:26.489 UTC
40.760000,-74.040000,2025-12-21 18:14:26.115 UTC
33.920000,-118.160000,2025-12-21 19:25:59.037 UTC
34.200000,-118.360000,2025-08-09 21:28:02.433 UTC
-33.840000,151.240000,2025-08-09 16:54:17.742 UTC
33.880000,-118.320000,2025-07-17 01:00:11.998 UTC
34.080000,-118.160000,2025-07-17 01:30:08.364 UTC
34.080000,-118.160000,2025-07-17 02:12:09.65 UTC
33.880000,-118.320000,2025-07-17 02:10:29.994 UTC
33.880000,-118.320000,2025-07-17 01:57:53.731 UTC
34.080000,-118.160000,2025-07-17 01:29:59.462 UTC
34.080000,-118.160000,2025-07-19 22:27:32.658 UTC
34.080000,-118.160000,2025-07-19 22:27:44.432 UTC
34.080000,-118.160000,2025-07-19 22:30:49.558 UTC
34.080000,-118.160000,2025-07-19 22:27:13.588 UTC
34.080000,-118.160000,2025-07-19 22:26:08.978 UTC
34.080000,-118.160000,2025-07-19 22:26:34.358 UTC
34.080000,-118.160000,2025-07-19 22:30:36.218 UTC
34.080000,-118.160000,2025-07-19 22:35:49.815 UTC
34.080000,-118.160000,2025-07-19 21:26:14.053 UTC
40.640000,-74.000000,2025-07-19 03:23:52.432 UTC
33.880000,-118.320000,2026-01-30 22:35:54.276 UTC
33.880000,-118.320000,2025-08-21 01:13:49.628 UTC
33.880000,-118.320000,2025-07-31 00:56:32.664 UTC
33.880000,-118.320000,2025-07-31 00:57:41.069 UTC
40.760000,-74.000000,2025-10-02 14:53:18.787 UTC
34.080000,-118.160000,2025-06-16 00:53:59.876 UTC
47.640000,-122.320000,2025-12-18 16:24:26.452 UTC
34.080000,-118.320000,2025-12-18 02:08:57.529 UTC
35.640000,139.640000,2026-05-31 17:19:55.345 UTC
33.880000,-118.160000,2025-10-09 04:17:04.566 UTC
33.960000,-118.280000,2025-07-08 18:00:02.67 UTC
33.920000,-118.200000,2025-05-30 19:54:21.168 UTC
34.040000,-118.280000,2025-12-07 02:14:26.509 UTC
34.080000,-118.160000,2025-10-12 21:35:43.298 UTC
34.080000,-118.320000,2025-11-19 15:36:01.272 UTC
34.200000,-118.320000,2025-11-19 22:49:16.578 UTC
34.040000,-118.200000,2026-01-04 21:51:25.098 UTC
-23.520000,-46.560000,2025-08-05 15:12:20.6 UTC
34.080000,-118.320000,2025-08-05 15:09:58.769 UTC
35.680000,139.680000,2026-04-11 15:09:34.912 UTC
33.880000,-118.320000,2026-04-11 23:41:36.035 UTC
33.880000,-118.320000,2025-12-31 21:01:49.264 UTC
34.080000,-118.160000,2025-12-31 21:15:35.25 UTC
33.920000,-118.240000,2025-12-31 21:32:41.511 UTC
34.160000,-118.360000,2025-12-31 21:24:01.672 UTC
34.120000,-118.160000,2025-11-11 00:42:57.378 UTC
34.120000,-118.160000,2025-11-11 00:43:39.476 UTC
34.120000,-118.160000,2025-11-11 04:24:56.459 UTC
34.160000,-118.360000,2025-10-08 00:47:22.537 UTC
34.080000,-118.160000,2025-10-18 20:54:45.251 UTC
34.000000,-118.400000,2026-03-11 14:48:33.674 UTC
34.160000,-118.120000,2025-09-11 14:58:37.43 UTC
34.160000,-118.360000,2025-08-02 19:29:43.637 UTC
34.000000,-118.360000,2025-07-24 00:20:30.858 UTC
34.080000,-118.320000,2025-07-24 00:53:54.928 UTC
34.160000,-118.280000,2025-07-24 03:50:11.222 UTC
41.840000,-87.600000,2025-12-26 03:03:59.608 UTC
34.040000,-118.200000,2025-12-26 03:29:01.514 UTC
34.200000,-118.160000,2025-12-26 03:14:00.763 UTC
