Player_Latitude,Player_Longitude,Gym_Latitude,Gym_Longitude,Timestamp
33.840000,-118.200000,33.880000,-118.280000,2025-08-21 03:28:48.868 UTC
33.960000,-118.200000,33.960000,-118.200000,2025-08-21 01:27:44.967 UTC
34.040000,-118.200000,34.040000,-118.280000,2025-08-21 17:17:51.624 UTC
34.000000,-118.440000,34.040000,-118.360000,2025-08-21 01:14:06.471 UTC
51.480000,-0.160000,47.640000,-122.280000,2025-08-21 23:43:20.518 UTC
33.960000,-118.200000,33.960000,-118.200000,2025-08-21 01:17:05.844 UTC
-33.960000,151.360000,-33.920000,151.240000,2025-08-21 02:01:18.215 UTC
34.000000,-118.440000,34.040000,-118.360000,2025-08-21 01:33:09.972 UTC
-33.880000,151.240000,41.840000,-87.520000,2025-12-23 06:13:15.605 UTC
34.000000,-118.440000,34.040000,-118.360000,2026-01-18 23:01:08.518 UTC
33.960000,-118.200000,33.960000,-118.200000,2025-11-01 22:10:52.547 UTC
40.680000,-74.040000,34.200000,-118.240000,2025-11-01 21:57:39.835 UTC
40.640000,-73.960000,33.960000,-118.200000,2025-11-01 21:25:19.004 UTC
47.640000,-122.360000,34.080000,-118.040000,2025-11-01 17:28:01.269 UTC
34.080000,-118.480000,34.000000,-118.440000,2025-11-01 22:53:57.228 UTC
34.000000,-118.440000,34.040000,-118.360000,2025-06-21 03:01:46.643 UTC
34.000000,-118.440000,34.040000,-118.360000,2025-06-21 23:55:08.137 UTC
34.000000,-118.320000,33.960000,-118.200000,2025-06-21 22:23:29.544 UTC
47.680000,-122.320000,33.920000,-118.200000,2026-02-26 15:24:38.731 UTC
34.240000,-118.240000,34.200000,-118.160000,2026-02-26 01:17:34.918 UTC
40.640000,-73.960000,33.960000,-118.200000,2025-06-16 00:38:03.312 UTC
40.680000,-74.040000,34.200000,-118.240000,2025-08-31 21:52:52.451 UTC
33.960000,-118.200000,33.960000,-118.200000,2025-08-31 21:10:00.899 UTC
34.000000,-118.440000,34.040000,-118.360000,2025-08-31 22:09:18.489 UTC
40.640000,-73.960000,33.960000,-118.200000,2025-08-31 22:38:59.218 UTC
40.640000,-73.960000,33.960000,-118.200000,2025-08-31 22:35:22.061 UTC
40.640000,-73.960000,33.960000,-118.200000,2025-08-31 21:15:19.61 UTC
40.640000,-73.960000,33.960000,-118.200000,2025-08-31 21:20:22.24 UTC
34.080000,-118.320000,34.120000,-118.280000,2025-08-31 16:34:09.722 UTC
34.040000,-118.280000,33.960000,-118.200000,2025-08-31 23:07:38.783 UTC
-33.840000,151.200000,34.040000,-118.080000,2025-08-31 09:47:56.549 UTC
-33.880000,151.160000,34.000000,-118.440000,2026-01-03 18:18:26.967 UTC
34.000000,-118.280000,34.040000,-118.400000,2026-01-03 22:01:36.178 UTC
34.080000,-118.360000,34.040000,-118.400000,2026-01-03 22:01:47.486 UTC
34.000000,-118.440000,34.040000,-118.360000,2025-10-09 01:00:48.776 UTC
34.000000,-118.440000,34.040000,-118.360000,2025-10-09 01:45:14.716 UTC
34.000000,-118.160000,34.080000,-118.240000,2025-10-09 15:06:20.786 UTC
35.640000,139.600000,35.680000,139.720000,2025-10-09 04:12:41.752 UTC
40.680000,-74.040000,34.200000,-118.240000,2025-10-09 01:51:26.174 UTC
34.000000,-118.440000,34.040000,-118.360000,2025-10-09 00:53:49.408 UTC
51.480000,-0.200000,34.200000,-118.320000,2026-01-01 00:23:43.887 UTC
51.640000,-0.280000,51.560000,-0.200000,2026-01-01 01:12:15.519 UTC
51.440000,-0.160000,34.040000,-118.440000,2026-05-30 06:33:17.065 UTC
35.640000,139.640000,34.080000,-118.240000,2026-05-30 06:55:26.855 UTC
51.560000,-0.040000,34.120000,-118.200000,2026-05-30 05:20:14.27 UTC
34.000000,-118.120000,33.960000,-118.080000,2026-05-30 01:38:13.47 UTC
34.000000,-118.120000,33.960000,-118.080000,2026-05-30 00:55:59.413 UTC
34.000000,-118.120000,33.960000,-118.080000,2026-05-30 01:40:47.493 UTC
-23.520000,-46.640000,34.200000,-118.240000,2026-05-30 06:36:48.222 UTC
-23.520000,-46.640000,34.200000,-118.240000,2026-05-30 07:09:31.389 UTC
34.000000,-118.120000,33.960000,-118.080000,2026-05-30 07:06:42.634 UTC
33.880000,-118.080000,33.880000,-118.160000,2026-05-30 05:14:30.594 UTC
34.000000,-118.440000,34.040000,-118.360000,2026-05-07 01:32:43.062 UTC
40.800000,-74.000000,47.600000,-122.200000,2025-06-01 03:53:30.302 UTC
51.480000,-0.200000,51.560000,-0.040000,2025-06-01 03:50:33.369 UTC
35.640000,139.640000,34.080000,-118.240000,2026-05-28 02:50:12.345 UTC
34.000000,-118.120000,33.960000,-118.080000,2026-05-28 04:07:28.114 UTC
34.160000,-118.240000,34.160000,-118.320000,2026-05-28 03:29:41.784 UTC
34.080000,-118.320000,34.000000,-118.400000,2026-05-28 02:55:55.534 UTC
34.040000,-118.240000,34.000000,-118.240000,2026-05-28 02:27:52.553 UTC
