Player_Latitude,Player_Longitude,Gym_Latitude,Gym_Longitude,Timestamp
34.160227,-118.101305,,,2025-11-01 16:51:03.288 UTC
34.041907,-118.089428,,,2025-04-18 23:03:06.388 UTC
34.006087,-118.146532,,,2026-01-03 22:14:39.219 UTC
34.138123,-118.062094,,,2026-01-03 22:12:49.837 UTC
33.974422,-118.411075,,,2025-03-29 23:18:50.242 UTC
34.089961,-118.273365,,,2026-05-28 17:00:38.154 UTC
34.001347,-118.043917,,,2026-02-06 19:01:55.041 UTC
34.090455,-118.284433,,,2025-11-05 14:00:51.801 UTC
34.008120,-118.068586,,,2025-11-05 19:43:24.735 UTC
33.978536,-118.145786,,,2025-11-05 02:05:01.118 UTC
33.884788,-118.179224,,,2025-10-02 00:40:18.085 UTC
41.870023,-87.729580,,,2025-05-24 23:30:32.08 UTC
33.915302,-118.375626,,,2026-03-22 18:59:39.24 UTC
33.924870,-118.121300,,,2025-10-23 14:51:41.223 UTC
34.199692,-118.309318,,,2025-07-23 03:24:07.091 UTC
-23.566913,-46.598624,,,2025-07-23 04:46:58.36 UTC
33.925231,-118.117800,,,2025-07-23 04:15:48.327 UTC
35.616333,139.629214,,,2026-01-31 21:44:51.212 UTC
34.187940,-118.104498,,,2025-12-21 05:39:32.209 UTC
34.146334,-118.166341,,,2025-11-30 00:19:23.246 UTC
33.953254,-118.326099,,,2025-06-30 00:55:29.051 UTC
33.930707,-118.250002,,,2025-06-30 00:26:15.194 UTC
34.089961,-118.273365,,,2025-06-14 18:53:33.133 UTC
-33.864906,151.169944,,,2026-02-11 01:58:15.83 UTC
41.906203,-87.673243,,,2026-02-11 01:03:52.32 UTC
-33.889293,151.254731,,,2026-02-11 02:14:35.848 UTC
34.018891,-118.170477,,,2026-02-11 02:20:03.1 UTC
34.080928,-118.341541,,,2026-02-11 00:21:11.153 UTC
40.748360,-74.036159,,,2026-03-08 23:51:17.622 UTC
33.932569,-118.174316,,,2025-03-17 20:49:18.472 UTC
